time (ms), x-accel, y-accel, z-accel
10001.759999999194, -0.268112, 0.665344, 0.121872
10027.009999990696, -0.273819, 0.599808, 0.112656
10052.25999999675, -0.292999, 0.563354, 0.113602
10077.529999995022, -0.275131, 0.535812, 0.123444
10102.780000001076, -0.252899, 0.55394, 0.142883
10128.049999999348, -0.260406, 0.618744, 0.153214
10153.29999999085, -0.296844, 0.68718, 0.156464
10178.539999993518, -0.30304, 0.711716, 0.205765
10203.80999999179, -0.285217, 0.752274, 0.231384
10229.059999997844, -0.34024, 1.008865, 0.312012
10254.329999996116, -0.344894, 1.070312, 0.431778
10279.58000000217, -0.405792, 1.136322, 0.410904
10304.829999993672, -0.405777, 1.206406, 0.377213
10330.099999991944, -0.351776, 1.02533, 0.446579
10355.349999997998, -0.300766, 0.936707, 0.562317
10380.61999999627, -0.27359, 1.068817, 0.580261
10405.870000002324, -0.313416, 1.160934, 0.484207
10431.119999993825, -0.414291, 1.179062, 0.409103
10456.399999995483, -0.514755, 1.130508, 0.398956
10481.639999998151, -0.482422, 1.007736, 0.401154
10506.909999996424, -0.420395, 0.917618, 0.373322
10532.159999987925, -0.375824, 0.874893, 0.336227
10557.409999993979, -0.372482, 0.846161, 0.317505
10582.679999992251, -0.427872, 0.81485, 0.340897
10607.929999998305, -0.455002, 0.799698, 0.362411
10633.199999996577, -0.462204, 0.782394, 0.387436
10658.449999988079, -0.481171, 0.743423, 0.425323
10683.689999990747, -0.481628, 0.72818, 0.436523
10708.969999992405, -0.483475, 0.759354, 0.438309
10734.209999995073, -0.507339, 0.812836, 0.446396
10759.489999996731, -0.547958, 0.859558, 0.455185
10784.739999988233, -0.558014, 0.908813, 0.487381
10809.979999990901, -0.538498, 0.868851, 0.480911
10835.259999992559, -0.512283, 0.914185, 0.483475
10860.499999995227, -0.496338, 1.099808, 0.553757
10885.779999996885, -0.500244, 1.171646, 0.549088
10911.029999988386, -0.507538, 1.177795, 0.539627
10936.119999998482, -0.466278, 1.205887, 0.516357
10961.389999996754, -0.402802, 1.276093, 0.451843
10986.639999988256, -0.348206, 1.304657, 0.387482
11011.91000000108, -0.325699, 1.299973, 0.360657
11037.159999992582, -0.325195, 1.262039, 0.32962
11062.409999998636, -0.365509, 1.206161, 0.290955
11087.679999996908, -0.309006, 1.14299, 0.325989
11112.92999998841, -0.362274, 1.067993, 0.289536
11138.200000001234, -0.363235, 1.001801, 0.264755
11163.449999992736, -0.30545, 0.922836, 0.236954
11188.689999995404, -0.246979, 0.86171, 0.180542
11213.959999993676, -0.223953, 0.793457, 0.134918
11239.20999999973, -0.214264, 0.722137, 0.107834
11264.479999998002, -0.230774, 0.634995, 0.095978
11289.729999989504, -0.256866, 0.568436, 0.084885
11314.979999995558, -0.262482, 0.534897, 0.08876
11340.24999999383, -0.257492, 0.510025, 0.115067
11365.489999996498, -0.256821, 0.521576, 0.146042
11390.75999999477, -0.283981, 0.589676, 0.154648
11416.010000000824, -0.320587, 0.626587, 0.166367
11441.259999992326, -0.329651, 0.61412, 0.224365
11466.529999990598, -0.308762, 0.686829, 0.318054
11491.779999996652, -0.327301, 0.822128, 0.371658
11517.049999994924, -0.427704, 1.026993, 0.367798
11542.309999989811, -0.489563, 1.020828, 0.35704
11567.54999999248, -0.514191, 1.188095, 0.394928
11592.819999990752, -0.483566, 1.196045, 0.458633
11618.069999996806, -0.436615, 1.201675, 0.527695
11643.339999995078, -0.404587, 1.293472, 0.544662
11668.590000001132, -0.400757, 1.275436, 0.539398
11693.839999992633, -0.404404, 1.190857, 0.522507
11719.109999990906, -0.389023, 1.106689, 0.486206
11744.35999999696, -0.39534, 1.020737, 0.440292
11769.629999995232, -0.407913, 0.927582, 0.392197
11794.880000001285, -0.419861, 0.852661, 0.36348
11820.129999992787, -0.391571, 0.805008, 0.34848
11845.39999999106, -0.430038, 0.79715, 0.362244
